Name                                                      Stmts   Miss  Cover
-----------------------------------------------------------------------------
pkrhistoryparser/__init__.py                                  0      0   100%
pkrhistoryparser/history_parsers/__init__.py                  0      0   100%
pkrhistoryparser/history_parsers/abstract.py                165     31    81%
pkrhistoryparser/history_parsers/local.py                    27      4    85%
pkrhistoryparser/history_parsers/s3.py                       24     24     0%
pkrhistoryparser/lambda/__init__.py                           0      0   100%
pkrhistoryparser/lambda/history_parser.py                    12     12     0%
pkrhistoryparser/lambda/summary_parser.py                    12     12     0%
pkrhistoryparser/patterns/__init__.py                         0      0   100%
pkrhistoryparser/patterns/winamax.py                         38      0   100%
pkrhistoryparser/runs/__init__.py                             0      0   100%
pkrhistoryparser/runs/local/__init__.py                       0      0   100%
pkrhistoryparser/runs/local/parse_hand_histories.py           5      5     0%
pkrhistoryparser/runs/local/parse_new_hand_histories.py       5      5     0%
pkrhistoryparser/runs/local/parse_new_summaries.py            5      5     0%
pkrhistoryparser/runs/local/parse_summaries.py                5      5     0%
pkrhistoryparser/runs/s3/__init__.py                          0      0   100%
pkrhistoryparser/runs/s3/parse_hand_histories.py              5      5     0%
pkrhistoryparser/runs/s3/parse_new_hand_histories.py          5      5     0%
pkrhistoryparser/runs/s3/parse_new_summaries.py               0      0   100%
pkrhistoryparser/runs/s3/parse_summaries.py                   0      0   100%
pkrhistoryparser/settings.py                                 11     11     0%
pkrhistoryparser/summary_parsers/__init__.py                  0      0   100%
pkrhistoryparser/summary_parsers/abstract.py                118     36    69%
pkrhistoryparser/summary_parsers/local.py                    27      6    78%
pkrhistoryparser/summary_parsers/s3.py                       24     24     0%
-----------------------------------------------------------------------------
TOTAL                                                       488    190    61%
