,1,2,5,10,20,50,100,200,500,1000,2000,5000,10000
2,4380.88,4380.88,4380.95,4381.06,4381.29,4381.53,4382.69,4382.69,4389.68,4401.32,4424.61,4424.61,4424.61
5,1752.35,1752.38,1752.38,1752.38,1752.61,1752.38,1753.54,1755.87,1758.2,1769.84,1769.84,1862.99,1862.99
10,876.19,876.21,876.19,876.31,876.54,876.77,877.94,880.26,884.92,884.92,884.92,931.5,931.5
20,438.11,438.13,438.15,438.27,438.27,438.97,440.13,442.46,442.46,442.46,465.75,465.75,465.75
50,175.24,175.26,175.24,175.35,175.59,175.82,176.98,176.98,186.3,186.3,186.3,232.87,232.87
100,87.63,87.65,87.68,87.79,88.03,88.49,88.49,88.49,93.15,93.15,93.15,116.44,232.87
200,43.83,43.83,43.9,44.01,44.25,44.25,44.25,46.57,46.57,46.57,46.57,116.44,232.87
500,17.54,17.56,17.58,17.7,17.7,18.63,18.63,18.63,23.29,23.29,46.57,116.44,232.87
1000,8.78,8.8,8.85,8.85,8.85,9.31,9.31,9.31,11.64,23.29,46.57,116.44,232.87
