,1,2,5,10,20,50,100,200,500,1000,2000,5000,10000
2,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0006,0.0007,0.0007,0.0008,0.0017
5,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0006,0.0006,0.0008,0.0008,0.0021,0.0042
10,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0006,0.0007,0.0008,0.0008,0.0017,0.0042,0.0083
20,0.0005,0.0005,0.0005,0.0005,0.0005,0.0006,0.0007,0.0007,0.0008,0.0017,0.0033,0.0083,0.0166
50,0.0005,0.0005,0.0005,0.0005,0.0006,0.0006,0.0008,0.0008,0.0021,0.0042,0.0083,0.0208,0.0415
100,0.0005,0.0005,0.0005,0.0006,0.0007,0.0008,0.0008,0.0017,0.0042,0.0083,0.0166,0.0415,0.0831
200,0.0005,0.0005,0.0006,0.0007,0.0007,0.0008,0.0017,0.0033,0.0083,0.0166,0.0332,0.0831,0.1661
500,0.0005,0.0006,0.0006,0.0008,0.0008,0.0021,0.0042,0.0083,0.0208,0.0415,0.0831,0.2076,0.4153
1000,0.0006,0.0007,0.0008,0.0008,0.0017,0.0041,0.0083,0.0166,0.0415,0.083,0.1661,0.4153,0.8305
